dataset,record_type,parts,method,dtype,rows,dim,leaf_size,repeats,neighbors_per_leaf,sample_rows,k,seed,incremental_ms,cumulative_ms,leaf_count,min_leaf_size,mean_leaf_size,max_leaf_size,nn_same_partition_rate,implicit_knn_recall,implicit_cross_knn_recall,implicit_unique_degree_mean
YFCC-10M,partition,0,pivot-ternary,uint8,10000000,192,256,1,0,4096,12,1234,119.437142,119.437142,88369,1,113.161855,256,0.077250,nan,nan,nan
YFCC-10M,partition,0,pivot-ternary,uint8,10000000,192,256,2,0,4096,12,1234,137.508437,256.945579,88379,1,113.149051,256,0.128723,nan,nan,nan
YFCC-10M,partition,0,pivot-ternary,uint8,10000000,192,256,4,0,4096,12,1234,132.676081,539.558112,88060,1,113.558937,256,0.214986,nan,nan,nan
YFCC-10M,partition,0,pivot-ternary,uint8,10000000,192,256,8,0,4096,12,1234,122.804886,1033.287997,88386,1,113.140090,256,0.347493,nan,nan,nan
YFCC-10M,partition,0,pivot-ternary,uint8,10000000,192,256,16,0,4096,12,1234,131.019188,2075.618380,88568,1,112.907596,256,0.522176,nan,nan,nan
YFCC-10M,partition,0,pivot-ternary,uint8,10000000,192,256,32,0,4096,12,1234,125.819949,4156.854043,88108,1,113.497072,256,0.710592,nan,nan,nan
YFCC-10M,implicit-scaffold,2,pivot-binary,uint8,10000000,192,256,1,4,4096,12,1234,153.729880,153.729880,0,0,0,0,nan,0.024699,0.052794,3.999756
YFCC-10M,implicit-scaffold,2,pivot-binary,uint8,10000000,192,256,2,4,4096,12,1234,158.203673,311.933553,0,0,0,0,nan,0.046651,0.099717,7.893311
YFCC-10M,implicit-scaffold,2,pivot-binary,uint8,10000000,192,256,4,4,4096,12,1234,167.692025,647.597925,0,0,0,0,nan,0.084167,0.179909,15.461182
YFCC-10M,implicit-scaffold,2,pivot-binary,uint8,10000000,192,256,8,4,4096,12,1234,158.259674,1260.532789,0,0,0,0,nan,0.142680,0.304979,29.917480
YFCC-10M,implicit-scaffold,2,pivot-binary,uint8,10000000,192,256,16,4,4096,12,1234,172.430141,2620.662452,0,0,0,0,nan,0.224569,0.480017,56.888672
YFCC-10M,implicit-scaffold,2,pivot-binary,uint8,10000000,192,256,32,4,4096,12,1234,155.808976,5271.885137,0,0,0,0,nan,0.315470,0.674321,105.375244
YFCC-10M,implicit-scaffold,2,pivot-ternary,uint8,10000000,192,256,1,4,4096,12,1234,181.489489,181.489489,0,0,0,0,nan,0.028768,0.061492,3.997803
YFCC-10M,implicit-scaffold,2,pivot-ternary,uint8,10000000,192,256,2,4,4096,12,1234,204.350341,385.839830,0,0,0,0,nan,0.051453,0.109980,7.885742
YFCC-10M,implicit-scaffold,2,pivot-ternary,uint8,10000000,192,256,4,4,4096,12,1234,190.375596,785.818847,0,0,0,0,nan,0.091878,0.196391,15.407471
YFCC-10M,implicit-scaffold,2,pivot-ternary,uint8,10000000,192,256,8,4,4096,12,1234,188.913506,1550.137015,0,0,0,0,nan,0.154663,0.330594,29.731934
YFCC-10M,implicit-scaffold,2,pivot-ternary,uint8,10000000,192,256,16,4,4096,12,1234,213.513931,3223.753281,0,0,0,0,nan,0.238241,0.509241,56.242676
YFCC-10M,implicit-scaffold,2,pivot-ternary,uint8,10000000,192,256,32,4,4096,12,1234,200.506793,6491.894979,0,0,0,0,nan,0.327209,0.699413,103.590088
YFCC-10M,implicit-scaffold,8,pivot-binary,uint8,10000000,192,256,1,4,4096,12,1234,153.562119,153.562119,0,0,0,0,nan,0.046244,0.053883,3.999756
YFCC-10M,implicit-scaffold,8,pivot-binary,uint8,10000000,192,256,2,4,4096,12,1234,157.697110,311.259229,0,0,0,0,nan,0.087280,0.101697,7.872803
YFCC-10M,implicit-scaffold,8,pivot-binary,uint8,10000000,192,256,4,4,4096,12,1234,170.038763,652.631804,0,0,0,0,nan,0.154582,0.180116,15.376465
YFCC-10M,implicit-scaffold,8,pivot-binary,uint8,10000000,192,256,8,4,4096,12,1234,159.595404,1271.975076,0,0,0,0,nan,0.262105,0.305400,29.625977
YFCC-10M,implicit-scaffold,8,pivot-binary,uint8,10000000,192,256,16,4,4096,12,1234,171.574054,2634.913719,0,0,0,0,nan,0.413147,0.481391,56.007324
YFCC-10M,implicit-scaffold,8,pivot-binary,uint8,10000000,192,256,32,4,4096,12,1234,157.229386,5308.013648,0,0,0,0,nan,0.581462,0.677508,102.760254
YFCC-10M,implicit-scaffold,8,pivot-ternary,uint8,10000000,192,256,1,4,4096,12,1234,181.970453,181.970453,0,0,0,0,nan,0.051921,0.060497,3.999756
YFCC-10M,implicit-scaffold,8,pivot-ternary,uint8,10000000,192,256,2,4,4096,12,1234,201.942284,383.912737,0,0,0,0,nan,0.093547,0.108999,7.862061
YFCC-10M,implicit-scaffold,8,pivot-ternary,uint8,10000000,192,256,4,4,4096,12,1234,188.664624,784.328039,0,0,0,0,nan,0.166545,0.194055,15.308594
YFCC-10M,implicit-scaffold,8,pivot-ternary,uint8,10000000,192,256,8,4,4096,12,1234,190.065154,1551.502747,0,0,0,0,nan,0.282104,0.328703,29.416504
